Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0120338,2012-07-08,2012-07-08,,Titanic,https://www.imdb.com/title/tt0120338/,movie,7.8,194,1997,"Drama, Romance",1009038,1997-11-01,James Cameron
2,tt0211915,2012-07-06,2012-07-06,,Le fabuleux destin d'Amélie Poulain,https://www.imdb.com/title/tt0211915/,movie,8.3,122,2001,"Comedy, Romance",682224,2001-04-25,Jean-Pierre Jeunet
3,tt0213847,2012-07-08,2012-07-08,,Malèna,https://www.imdb.com/title/tt0213847/,movie,7.5,108,2000,"Comedy, Drama, Romance, War",85700,2000-10-26,Giuseppe Tornatore
4,tt0120731,2012-07-08,2012-07-08,,La leggenda del pianista sull'oceano,https://www.imdb.com/title/tt0120731/,movie,8.1,169,1998,"Drama, Music, Romance",56336,1998-10-28,Giuseppe Tornatore
5,tt0344510,2012-07-08,2012-07-08,,Un long dimanche de fiançailles,https://www.imdb.com/title/tt0344510/,movie,7.6,133,2004,"Drama, Mystery, Romance, War",69703,2004-10-27,Jean-Pierre Jeunet
6,tt0059113,2012-07-08,2012-07-08,,Doctor Zhivago,https://www.imdb.com/title/tt0059113/,movie,8.0,197,1965,"Drama, Romance, War",67288,1965-12-22,David Lean
7,tt0109830,2019-06-07,2019-06-07,,Forrest Gump,https://www.imdb.com/title/tt0109830/,movie,8.8,142,1994,"Drama, Romance",1724803,1994-06-23,Robert Zemeckis
8,tt0031381,2012-07-08,2012-07-08,,Gone with the Wind,https://www.imdb.com/title/tt0031381/,movie,8.1,238,1939,"Drama, History, Romance, War",277813,1939-12-15,"Sam Wood, George Cukor, Victor Fleming"
9,tt0421715,2012-07-08,2012-07-08,,The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/,movie,7.8,166,2008,"Drama, Fantasy, Romance",566983,2008-12-10,David Fincher
10,tt0338013,2012-07-08,2012-07-08,,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,movie,8.3,108,2004,"Drama, Romance, Sci-Fi",874435,2004-03-09,Michel Gondry
11,tt0053604,2012-07-08,2012-07-08,,The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,"Comedy, Drama, Romance",155219,1960-06-15,Billy Wilder
12,tt0034583,2012-07-08,2012-07-08,,Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",501896,1942-11-26,Michael Curtiz
13,tt0021749,2012-07-08,2012-07-08,,City Lights,https://www.imdb.com/title/tt0021749/,movie,8.5,87,1931,"Comedy, Drama, Romance",158848,1931-01-30,Charles Chaplin
14,tt1655442,2012-07-08,2012-07-08,,The Artist,https://www.imdb.com/title/tt1655442/,movie,7.9,100,2011,"Comedy, Drama, Romance",224736,2011-05-15,Michel Hazanavicius
15,tt0107048,2012-07-08,2012-07-08,,Groundhog Day,https://www.imdb.com/title/tt0107048/,movie,8.0,101,1993,"Comedy, Fantasy, Romance",562905,1993-02-04,Harold Ramis
16,tt0118694,2012-07-06,2012-07-06,,Faa yeung nin wa,https://www.imdb.com/title/tt0118694/,movie,8.1,98,2000,"Drama, Romance",115754,2000-05-20,Kar-Wai Wong
17,tt1798709,2014-01-29,2014-01-29,,Her,https://www.imdb.com/title/tt1798709/,movie,8.0,126,2013,"Drama, Romance, Sci-Fi",511870,2013-10-12,Spike Jonze
18,tt0112471,2012-07-08,2012-07-08,,Before Sunrise,https://www.imdb.com/title/tt0112471/,movie,8.1,101,1995,"Drama, Romance",255776,1995-01-19,Richard Linklater
19,tt0388795,2015-09-03,2015-09-03,,Brokeback Mountain,https://www.imdb.com/title/tt0388795/,movie,7.7,134,2005,"Drama, Romance",312912,2005-09-02,Ang Lee
20,tt0976051,2012-07-08,2012-07-08,,The Reader,https://www.imdb.com/title/tt0976051/,movie,7.6,124,2008,"Drama, Romance",225066,2008-12-10,Stephen Daldry
21,tt1605783,2012-07-08,2012-07-08,,Midnight in Paris,https://www.imdb.com/title/tt1605783/,movie,7.7,96,2011,"Comedy, Fantasy, Romance",373001,2011-05-11,Woody Allen
22,tt1010048,2019-06-07,2019-06-07,,Slumdog Millionaire,https://www.imdb.com/title/tt1010048/,movie,8.0,120,2008,"Drama, Romance",778232,2008-08-30,"Loveleen Tandan, Danny Boyle"
23,tt0332280,2012-07-08,2012-07-08,,The Notebook,https://www.imdb.com/title/tt0332280/,movie,7.8,123,2004,"Drama, Romance",500036,2004-05-20,Nick Cassavetes
