Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0086879,2017-04-25,2017-04-25,,Amadeus,https://www.imdb.com/title/tt0086879/,movie,8.3,160,1984,"Biography, Drama, History, Music",355612,1984-09-06,Milos Forman
2,tt0083987,2017-04-25,2017-04-25,,Gandhi,https://www.imdb.com/title/tt0083987/,movie,8.0,191,1982,"Biography, Drama, History",213216,1982-11-30,Richard Attenborough
3,tt0056172,2017-04-25,2017-04-25,,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,movie,8.3,228,1962,"Adventure, Biography, Drama, History, War",256698,1962-12-10,David Lean
4,tt0104797,2017-04-25,2017-04-25,,Malcolm X,https://www.imdb.com/title/tt0104797/,movie,7.7,202,1992,"Biography, Drama, History, Romance",80107,1992-11-18,Spike Lee
5,tt0108052,2017-04-25,2017-04-25,,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",1163392,1993-11-30,Steven Spielberg
6,tt0081398,2017-04-25,2017-04-25,,Raging Bull,https://www.imdb.com/title/tt0081398/,movie,8.2,129,1980,"Biography, Drama, Sport",308243,1980-11-13,Martin Scorsese
7,tt0099685,2017-04-25,2017-04-25,,Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,146,1990,"Biography, Crime, Drama",973212,1990-09-09,Martin Scorsese
8,tt1504320,2017-04-25,2017-04-25,,The King's Speech,https://www.imdb.com/title/tt1504320/,movie,8.0,118,2010,"Biography, Drama, History",620946,2010-09-06,Tom Hooper
9,tt0112573,2017-04-25,2017-04-25,,Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.3,178,1995,"Biography, Drama, History, War",931059,1995-05-18,Mel Gibson
10,tt0066206,2017-04-25,2017-04-25,,Patton,https://www.imdb.com/title/tt0066206/,movie,7.9,172,1970,"Biography, Drama, War",91361,1970-02-04,Franklin J. Schaffner
11,tt0264464,2017-04-25,2017-04-25,,Catch Me If You Can,https://www.imdb.com/title/tt0264464/,movie,8.1,141,2002,"Biography, Crime, Drama",781502,2002-12-16,Steven Spielberg
12,tt0093389,2017-04-25,2017-04-25,,The Last Emperor,https://www.imdb.com/title/tt0093389/,movie,7.7,163,1987,"Biography, Drama, History",90025,1987-10-04,Bernardo Bertolucci
13,tt0358273,2017-04-25,2017-04-25,,Walk the Line,https://www.imdb.com/title/tt0358273/,movie,7.8,136,2005,"Biography, Drama, Music, Romance",226477,2005-09-04,James Mangold
14,tt0268978,2017-04-25,2017-04-25,,A Beautiful Mind,https://www.imdb.com/title/tt0268978/,movie,8.2,135,2001,"Biography, Drama",815328,2001-12-13,Ron Howard
15,tt1285016,2017-04-25,2017-04-25,,The Social Network,https://www.imdb.com/title/tt1285016/,movie,7.7,120,2010,"Biography, Drama",598361,2010-09-24,David Fincher
16,tt0253474,2017-04-25,2017-04-25,,The Pianist,https://www.imdb.com/title/tt0253474/,movie,8.5,150,2002,"Biography, Drama, Music, War",693944,2002-05-24,Roman Polanski
17,tt0379725,2017-04-25,2017-04-25,,Capote,https://www.imdb.com/title/tt0379725/,movie,7.3,114,2005,"Biography, Crime, Drama, History",121695,2005-09-02,Bennett Miller
18,tt0443272,2017-04-25,2017-04-25,,Lincoln,https://www.imdb.com/title/tt0443272/,movie,7.3,150,2012,"Biography, Drama, History, War",237586,2012-10-08,Steven Spielberg
19,tt0338751,2017-04-25,2017-04-25,,The Aviator,https://www.imdb.com/title/tt0338751/,movie,7.5,170,2004,"Biography, Drama",322905,2004-12-14,Martin Scorsese
20,tt0472198,2017-04-25,2017-04-25,,Notorious,https://www.imdb.com/title/tt0472198/,movie,6.7,122,2009,"Biography, Crime, Drama, Music",39807,2009-01-16,George Tillman Jr.
21,tt0109707,2017-04-25,2017-04-25,,Ed Wood,https://www.imdb.com/title/tt0109707/,movie,7.8,127,1994,"Biography, Comedy, Drama",161623,1994-09-24,Tim Burton
22,tt0080678,2017-04-25,2017-04-25,,The Elephant Man,https://www.imdb.com/title/tt0080678/,movie,8.1,124,1980,"Biography, Drama",210715,1980-10-02,David Lynch
23,tt2084970,2017-04-25,2017-04-25,,The Imitation Game,https://www.imdb.com/title/tt2084970/,movie,8.0,114,2014,"Biography, Drama, Thriller, War",656038,2014-08-29,Morten Tyldum
24,tt0103939,2017-04-25,2017-04-25,,Chaplin,https://www.imdb.com/title/tt0103939/,movie,7.6,143,1992,"Biography, Comedy, Drama",51710,1992-12-16,Richard Attenborough
25,tt2980516,2017-04-25,2017-04-25,,The Theory of Everything,https://www.imdb.com/title/tt2980516/,movie,7.7,123,2014,"Biography, Drama, Romance",383934,2014-09-07,James Marsh
26,tt1013753,2017-04-25,2017-04-25,,Milk,https://www.imdb.com/title/tt1013753/,movie,7.5,128,2008,"Biography, Drama",160848,2008-10-28,Gus Van Sant
27,tt1398426,2017-04-25,2017-04-25,,Straight Outta Compton,https://www.imdb.com/title/tt1398426/,movie,7.9,147,2015,"Biography, Drama, History, Music",173395,2015-08-11,F. Gary Gray
28,tt0102138,2017-04-25,2017-04-25,,JFK,https://www.imdb.com/title/tt0102138/,movie,8.0,189,1991,"Drama, History, Thriller",136371,1991-12-19,Oliver Stone
29,tt0993846,2017-04-25,2017-04-25,,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,movie,8.2,180,2013,"Biography, Crime, Drama",1114480,2013-12-09,Martin Scorsese
30,tt1210166,2017-04-25,2017-04-25,,Moneyball,https://www.imdb.com/title/tt1210166/,movie,7.6,133,2011,"Biography, Drama, Sport",346642,2011-09-09,Bennett Miller
31,tt0878804,2017-04-25,2017-04-25,,The Blind Side,https://www.imdb.com/title/tt0878804/,movie,7.6,129,2009,"Biography, Drama, Sport",281221,2009-11-17,John Lee Hancock
32,tt0248667,2017-04-25,2017-04-25,,Ali,https://www.imdb.com/title/tt0248667/,movie,6.8,157,2001,"Biography, Drama, Sport",90928,2001-12-11,Michael Mann
33,tt0350258,2017-04-25,2017-04-25,,Ray,https://www.imdb.com/title/tt0350258/,movie,7.7,152,2004,"Biography, Drama, Music",134004,2004-09-12,Taylor Hackford
34,tt0964517,2017-04-25,2017-04-25,,The Fighter,https://www.imdb.com/title/tt0964517/,movie,7.8,116,2010,"Biography, Drama, Sport",329894,2010-12-06,David O. Russell
35,tt0210945,2017-04-25,2017-04-25,,Remember the Titans,https://www.imdb.com/title/tt0210945/,movie,7.8,113,2000,"Biography, Drama, Sport",191499,2000-09-23,Boaz Yakin
36,tt0352248,2017-04-25,2017-04-25,,Cinderella Man,https://www.imdb.com/title/tt0352248/,movie,8.0,144,2005,"Biography, Drama, History, Romance, Sport",171722,2005-05-23,Ron Howard
37,tt0070666,2017-04-25,2017-04-25,,Serpico,https://www.imdb.com/title/tt0070666/,movie,7.7,130,1973,"Biography, Crime, Drama, Thriller",104011,1973-12-05,Sidney Lumet
38,tt0455590,2017-04-25,2017-04-25,,The Last King of Scotland,https://www.imdb.com/title/tt0455590/,movie,7.7,123,2006,"Biography, Drama, History, Thriller",171083,2006-09-01,Kevin Macdonald
39,tt0054331,2017-04-25,2017-04-25,,Spartacus,https://www.imdb.com/title/tt0054331/,movie,7.9,197,1960,"Adventure, Biography, Drama, History, War",119781,1960-10-06,Stanley Kubrick
40,tt0097937,2017-04-25,2017-04-25,,My Left Foot: The Story of Christy Brown,https://www.imdb.com/title/tt0097937/,movie,7.9,103,1989,"Biography, Drama",64837,1989-02-24,Jim Sheridan
41,tt0395169,2017-04-25,2017-04-25,,Hotel Rwanda,https://www.imdb.com/title/tt0395169/,movie,8.1,121,2004,"Biography, Drama, History, War",325516,2004-09-11,Terry George
42,tt2980516,2017-04-25,2017-04-25,,The Theory of Everything,https://www.imdb.com/title/tt2980516/,movie,7.7,123,2014,"Biography, Drama, Romance",383934,2014-09-07,James Marsh
43,tt0758758,2017-04-25,2017-04-25,,Into the Wild,https://www.imdb.com/title/tt0758758/,movie,8.1,148,2007,"Adventure, Biography, Drama",550689,2007-09-01,Sean Penn
44,tt0140352,2017-04-25,2017-04-25,,The Insider,https://www.imdb.com/title/tt0140352/,movie,7.8,157,1999,"Biography, Drama, Thriller",155203,1999-10-28,Michael Mann
45,tt2119532,2017-04-25,2017-04-25,,Hacksaw Ridge,https://www.imdb.com/title/tt2119532/,movie,8.1,139,2016,"Biography, Drama, History, War",406774,2016-09-04,Mel Gibson
46,tt0112641,2017-04-25,2017-04-25,,Casino,https://www.imdb.com/title/tt0112641/,movie,8.2,178,1995,"Crime, Drama",442798,1995-04-03,Martin Scorsese
47,tt0113987,2017-04-25,2017-04-25,,Nixon,https://www.imdb.com/title/tt0113987/,movie,7.1,192,1995,"Biography, Drama, History",27952,1995-12-20,Oliver Stone
48,tt0119008,2017-04-25,2017-04-25,,Donnie Brasco,https://www.imdb.com/title/tt0119008/,movie,7.7,127,1997,"Biography, Crime, Drama",266877,1997-02-24,Mike Newell
49,tt0349825,2017-04-25,2017-04-25,,Miracle,https://www.imdb.com/title/tt0349825/,movie,7.5,135,2004,"Biography, Drama, History, Sport",45987,2004-02-02,Gavin O'Connor
50,tt0132477,2017-04-25,2017-04-25,,October Sky,https://www.imdb.com/title/tt0132477/,movie,7.8,108,1999,"Biography, Drama, Family",78726,1999-02-19,Joe Johnston
