Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0032080,2017-05-23,2017-09-14,"Grand Prix du Festival International du Film 1939

Nominated for 1 Oscar. 
Another 2 wins",Union Pacific,https://www.imdb.com/title/tt0032080/,movie,7.1,135,1939,"Drama, Western",2502,1939-04-27,Cecil B. DeMille
2,tt0037054,2017-09-14,2017-09-14,"Grand Prix du Festival International du Film - 1946

3 wins",María Candelaria (Xochimilco),https://www.imdb.com/title/tt0037054/,movie,7.4,102,1944,"Romance, Drama",901,1944-01-20,Emilio Fernández
3,tt0037558,2017-05-23,2017-09-14,"Grand Prize of the Festival - 1946

3 wins
Nominated for 3 Oscars",Brief Encounter,https://www.imdb.com/title/tt0037558/,movie,8.0,86,1945,"Drama, Romance",33678,1945-11-19,David Lean
4,tt0037884,2017-05-23,2017-09-14,"Grand Prize of the Festival - 1946


12 wins  
Won 4 Oscars. 
Another 3 nominations",The Lost Weekend,https://www.imdb.com/title/tt0037884/,movie,7.9,101,1945,"Drama, Film-Noir",32196,1945-10-05,Billy Wilder
5,tt0037871,2017-09-14,2017-09-14,"Grand Prix du Festival International du Film - 1946

Won 1 Golden Globe. 
Another 3 wins",Die letzte Chance,https://www.imdb.com/title/tt0037871/,movie,6.7,113,1945,"Drama, War",329,1945-05-26,Leopold Lindtberg
6,tt0038890,2017-09-14,2017-09-14,"Grand Prix du Festival International du Film - 1946

Nominated for 1 Oscar. 
Another 7 wins",Roma città aperta,https://www.imdb.com/title/tt0038890/,movie,8.0,103,1945,"Drama, Thriller, War",22080,1945-09-24,Roberto Rossellini
7,tt0037426,2017-09-14,2017-09-14,"Grand Prix du Festival International du Film - 1946

3 wins",Velikiy perelom,https://www.imdb.com/title/tt0037426/,movie,6.3,108,1945,"Drama, War",139,1945-01-29,Fridrikh Ermler
8,tt0038043,2017-05-23,2017-09-14,"Grand Prize of the Festival - 1946


1 win",De røde enge,https://www.imdb.com/title/tt0038043/,movie,6.7,85,1945,"War, Drama",274,1945-12-26,"Bodil Ipsen, Lau Lauritzen"
9,tt0038647,2017-09-14,2017-09-14,"Grand Prix du Festival International du Film - 1946

1 win & 1 nomination",Iris och löjtnantshjärta,https://www.imdb.com/title/tt0038647/,movie,7.0,86,1946,Drama,56,1946-12-16,Alf Sjöberg
10,tt0039004,2017-05-23,2017-09-14,"Grand Prize of the Festival - 1946


3 wins",La symphonie pastorale,https://www.imdb.com/title/tt0039004/,movie,6.9,110,1946,Drama,447,1946-09-26,Jean Delannoy
