Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0027977,2012-07-15,2012-07-15,,Modern Times,https://www.imdb.com/title/tt0027977/,movie,8.5,87,1936,"Comedy, Drama, Family, Romance",206487,1936-02-05,Charles Chaplin
2,tt0211915,2012-07-06,2012-07-06,,Le fabuleux destin d'Amélie Poulain,https://www.imdb.com/title/tt0211915/,movie,8.3,122,2001,"Comedy, Romance",682224,2001-04-25,Jean-Pierre Jeunet
3,tt0088763,2012-07-06,2012-07-06,,Back to the Future,https://www.imdb.com/title/tt0088763/,movie,8.5,116,1985,"Adventure, Comedy, Sci-Fi",999499,1985-07-03,Robert Zemeckis
4,tt0449059,2012-07-15,2012-07-15,,Little Miss Sunshine,https://www.imdb.com/title/tt0449059/,movie,7.8,101,2006,"Comedy, Drama",426289,2006-01-20,"Jonathan Dayton, Valerie Faris"
5,tt0012349,2012-07-15,2012-07-15,,The Kid,https://www.imdb.com/title/tt0012349/,movie,8.3,68,1921,"Comedy, Drama, Family",106149,1921-01-16,Charles Chaplin
6,tt2278388,2015-03-22,2015-03-22,,The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,movie,8.1,99,2014,"Adventure, Comedy, Crime",675058,2014-02-06,Wes Anderson
7,tt0032553,2012-07-15,2012-07-15,,The Great Dictator,https://www.imdb.com/title/tt0032553/,movie,8.4,125,1940,"Comedy, Drama, War",193336,1940-10-15,Charles Chaplin
8,tt0053604,2012-07-15,2012-07-15,,The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,"Comedy, Drama, Romance",155219,1960-06-15,Billy Wilder
9,tt7131622,2019-06-13,2019-06-13,,Once Upon a Time... in Hollywood,https://www.imdb.com/title/tt7131622/,movie,7.7,161,2019,"Comedy, Drama",461398,2019-05-21,Quentin Tarantino
10,tt0021749,2012-07-15,2012-07-15,,City Lights,https://www.imdb.com/title/tt0021749/,movie,8.5,87,1931,"Comedy, Drama, Romance",158848,1931-01-30,Charles Chaplin
11,tt0425112,2012-07-15,2012-07-15,,Hot Fuzz,https://www.imdb.com/title/tt0425112/,movie,7.8,121,2007,"Action, Comedy, Mystery, Thriller",447029,2007-02-13,Edgar Wright
12,tt0053291,2012-07-15,2012-07-15,,Some Like It Hot,https://www.imdb.com/title/tt0053291/,movie,8.2,121,1959,"Comedy, Music, Romance",233918,1959-03-19,Billy Wilder
13,tt0014429,2012-07-15,2012-07-15,,Safety Last!,https://www.imdb.com/title/tt0014429/,movie,8.1,74,1923,"Action, Comedy, Thriller",17395,1923-04-01,"Fred C. Newmeyer, Sam Taylor"
14,tt6966692,2019-06-13,2019-06-13,,Green Book,https://www.imdb.com/title/tt6966692/,movie,8.2,130,2018,"Biography, Comedy, Drama, Music",320136,2018-09-11,Peter Farrelly
15,tt0023969,2012-07-15,2012-07-15,,Duck Soup,https://www.imdb.com/title/tt0023969/,movie,7.8,69,1933,"Comedy, Musical, War",54077,1933-11-12,Leo McCarey
16,tt2562232,2015-03-23,2015-03-23,,Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/,movie,7.7,119,2014,"Comedy, Drama",556489,2014-08-27,Alejandro G. Iñárritu
