Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt7343762,2019-10-30,2019-10-30,,Good Boys,https://www.imdb.com/title/tt7343762/,movie,6.7,90,2019,"Adventure, Comedy",48980,2019-03-11,Gene Stupnitsky
2,tt7734218,2019-10-11,2019-10-11,,Stuber,https://www.imdb.com/title/tt7734218/,movie,6.1,93,2019,"Action, Comedy, Crime, Thriller",33012,2019-03-13,Michael Dowse
3,tt0448115,2019-11-04,2019-11-04,,Shazam!,https://www.imdb.com/title/tt0448115/,movie,7.1,132,2019,"Action, Adventure, Comedy, Fantasy",229263,2019-03-25,David F. Sandberg
4,tt5783956,2018-08-26,2018-08-26,,When We First Met,https://www.imdb.com/title/tt5783956/,movie,6.4,97,2018,"Comedy, Fantasy, Romance",39002,2018-02-09,Ari Sandel
5,tt2531344,2018-08-23,2018-08-23,,Blockers,https://www.imdb.com/title/tt2531344/,movie,6.2,102,2018,Comedy,66345,2018-03-10,Kay Cannon
6,tt2704998,2018-08-22,2018-08-22,,Game Night,https://www.imdb.com/title/tt2704998/,movie,6.9,100,2018,"Action, Comedy, Crime, Mystery",190079,2018-02-15,"John Francis Daley, Jonathan Goldstein"
7,tt2283362,2018-08-22,2018-08-22,,Jumanji: Welcome to the Jungle,https://www.imdb.com/title/tt2283362/,movie,6.9,119,2017,"Action, Adventure, Comedy, Fantasy",299886,2017-12-05,Jake Kasdan
8,tt3501632,2018-11-12,2018-11-12,,Thor: Ragnarok,https://www.imdb.com/title/tt3501632/,movie,7.9,130,2017,"Action, Adventure, Comedy, Fantasy, Sci-Fi",549700,2017-10-10,Taika Waititi
9,tt2203939,2016-08-11,2016-08-11,,The Other Woman,https://www.imdb.com/title/tt2203939/,movie,6.0,109,2014,"Comedy, Romance",127576,2014-04-01,Nick Cassavetes
10,tt4795124,2017-10-12,2017-10-12,,How to Be a Latin Lover,https://www.imdb.com/title/tt4795124/,movie,5.9,115,2017,"Comedy, Drama",13265,2017-04-28,Ken Marino
