Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0986264,2013-10-05,2013-10-05,,Taare Zameen Par,https://www.imdb.com/title/tt0986264/,movie,8.4,165,2007,"Drama, Family",156600,2007-12-21,"Aamir Khan, Amole Gupte"
2,tt1675434,2013-10-05,2013-10-05,,Intouchables,https://www.imdb.com/title/tt1675434/,movie,8.5,112,2011,"Biography, Comedy, Drama",724846,2011-09-23,"Olivier Nakache, Éric Toledano"
3,tt0426931,2013-10-05,2013-10-05,,August Rush,https://www.imdb.com/title/tt0426931/,movie,7.5,114,2007,"Drama, Music",101574,2007-10-06,Kirsten Sheridan
4,tt0181536,2013-10-05,2013-10-05,,Finding Forrester,https://www.imdb.com/title/tt0181536/,movie,7.3,136,2000,Drama,80844,2000-12-01,Gus Van Sant
5,tt0463998,2013-10-05,2013-10-05,,Freedom Writers,https://www.imdb.com/title/tt0463998/,movie,7.5,123,2007,"Biography, Crime, Drama",64807,2007-01-05,Richard LaGravenese
6,tt0374546,2013-10-05,2013-10-05,,Bom yeoreum gaeul gyeoul geurigo bom,https://www.imdb.com/title/tt0374546/,movie,8.0,103,2003,"Drama, Romance",74434,2003-08-14,Ki-duk Kim
7,tt0111161,2013-10-05,2013-10-05,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2237007,1994-09-10,Frank Darabont
8,tt0080678,2013-10-05,2013-10-05,,The Elephant Man,https://www.imdb.com/title/tt0080678/,movie,8.1,124,1980,"Biography, Drama",210715,1980-10-02,David Lynch
9,tt1188996,2013-10-05,2013-10-05,,My Name Is Khan,https://www.imdb.com/title/tt1188996/,movie,8.0,165,2010,Drama,95113,2010-02-11,Karan Johar
10,tt0454921,2013-10-05,2013-10-05,,The Pursuit of Happyness,https://www.imdb.com/title/tt0454921/,movie,8.0,117,2006,"Biography, Drama",429271,2006-12-15,Gabriele Muccino
11,tt0095765,2013-10-05,2013-10-05,,Nuovo Cinema Paradiso,https://www.imdb.com/title/tt0095765/,movie,8.5,155,1988,Drama,217214,1988-09-29,Giuseppe Tornatore
12,tt0119217,2013-10-05,2013-10-05,,Good Will Hunting,https://www.imdb.com/title/tt0119217/,movie,8.3,126,1997,"Drama, Romance",821925,1997-12-02,Gus Van Sant
13,tt0120382,2013-10-05,2013-10-05,,The Truman Show,https://www.imdb.com/title/tt0120382/,movie,8.1,103,1998,"Comedy, Drama, Sci-Fi",891573,1998-06-01,Peter Weir
14,tt0825232,2013-10-05,2013-10-05,,The Bucket List,https://www.imdb.com/title/tt0825232/,movie,7.4,97,2007,"Comedy, Drama",223817,2007-12-16,Rob Reiner
15,tt0293715,2013-10-05,2013-10-05,,Yeopgijeogin geunyeo,https://www.imdb.com/title/tt0293715/,movie,8.0,123,2001,"Comedy, Drama, Romance",44046,2001-07-27,Jae-young Kwak
16,tt0795368,2013-10-05,2013-10-05,,Death at a Funeral,https://www.imdb.com/title/tt0795368/,movie,7.4,90,2007,Comedy,106488,2007-02-09,Frank Oz
17,tt1187043,2013-10-05,2013-10-05,,3 Idiots,https://www.imdb.com/title/tt1187043/,movie,8.4,170,2009,"Comedy, Drama",324037,2009-12-23,Rajkumar Hirani
18,tt0265662,2013-10-05,2013-10-05,,The Rookie,https://www.imdb.com/title/tt0265662/,movie,6.9,127,2002,"Drama, Family, Sport",31238,2002-03-26,John Lee Hancock
19,tt0276751,2013-10-05,2013-10-05,,About a Boy,https://www.imdb.com/title/tt0276751/,movie,7.0,101,2002,"Comedy, Drama, Romance",167192,2002-04-26,"Paul Weitz, Chris Weitz"
20,tt0109830,2013-10-05,2013-10-05,,Forrest Gump,https://www.imdb.com/title/tt0109830/,movie,8.8,142,1994,"Drama, Romance",1724803,1994-06-23,Robert Zemeckis
21,tt0382330,2013-10-05,2013-10-05,,Så som i himmelen,https://www.imdb.com/title/tt0382330/,movie,7.5,133,2004,"Comedy, Drama, Music, Romance",15816,2004-09-03,Kay Pollak
22,tt0411270,2013-10-05,2013-10-05,,De battre mon coeur s'est arrêté,https://www.imdb.com/title/tt0411270/,movie,7.3,108,2005,"Crime, Drama, Music",18380,2005-02-17,Jacques Audiard
23,tt0401383,2013-10-05,2013-10-05,,Le scaphandre et le papillon,https://www.imdb.com/title/tt0401383/,movie,8.0,112,2007,"Biography, Drama",101082,2007-05-22,Julian Schnabel
24,tt0118849,2013-10-05,2013-10-05,,Bacheha-Ye aseman,https://www.imdb.com/title/tt0118849/,movie,8.3,89,1997,"Drama, Family, Sport",60174,1997-02-01,Majid Majidi
25,tt0454876,2013-10-05,2013-10-05,,Life of Pi,https://www.imdb.com/title/tt0454876/,movie,7.9,127,2012,"Adventure, Drama, Fantasy",563089,2012-09-28,Ang Lee
26,tt0166896,2013-10-05,2013-10-05,,The Straight Story,https://www.imdb.com/title/tt0166896/,movie,8.0,112,1999,"Biography, Drama",78508,1999-05-21,David Lynch
27,tt1629757,2013-10-05,2013-10-05,,Chasing Mavericks,https://www.imdb.com/title/tt1629757/,movie,7.2,116,2012,"Biography, Drama, Sport",29992,2012-10-25,"Michael Apted, Curtis Hanson"
28,tt0460401,2013-10-05,2013-10-05,,L'audition,https://www.imdb.com/title/tt0460401/,movie,7.1,111,2005,Drama,1167,2005-09-23,Luc Picard
29,tt0116790,2013-10-05,2013-10-05,,Kolja,https://www.imdb.com/title/tt0116790/,movie,7.8,105,1996,"Comedy, Drama, Music",14115,1996-05-15,Jan Sverák
30,tt0366532,2013-10-05,2013-10-05,,La grande séduction,https://www.imdb.com/title/tt0366532/,movie,7.4,108,2003,Comedy,5031,2003-07-10,Jean-François Pouliot
31,tt1057500,2013-10-05,2013-10-05,,Invictus,https://www.imdb.com/title/tt1057500/,movie,7.3,134,2009,"Biography, Drama, History, Sport",145879,2009-12-03,Clint Eastwood
32,tt0107048,2013-10-05,2013-10-05,,Groundhog Day,https://www.imdb.com/title/tt0107048/,movie,8.0,101,1993,"Comedy, Fantasy, Romance",562905,1993-02-04,Harold Ramis
33,tt0878804,2013-10-05,2013-10-05,,The Blind Side,https://www.imdb.com/title/tt0878804/,movie,7.6,129,2009,"Biography, Drama, Sport",281221,2009-11-17,John Lee Hancock
34,tt0092005,2013-10-05,2013-10-05,,Stand by Me,https://www.imdb.com/title/tt0092005/,movie,8.1,89,1986,"Adventure, Drama",349771,1986-08-08,Rob Reiner
35,tt1095442,2013-10-05,2013-10-05,,Goodbye Solo,https://www.imdb.com/title/tt1095442/,movie,7.3,91,2008,Drama,5466,2008-08-31,Ramin Bahrani
36,tt0264796,2013-10-05,2013-10-05,,Life as a House,https://www.imdb.com/title/tt0264796/,movie,7.5,125,2001,Drama,42259,2001-09-09,Irwin Winkler
37,tt0374900,2013-10-05,2013-10-05,,Napoleon Dynamite,https://www.imdb.com/title/tt0374900/,movie,6.9,96,2004,Comedy,192438,2004-01-17,Jared Hess
38,tt0350258,2013-10-05,2013-10-05,,Ray,https://www.imdb.com/title/tt0350258/,movie,7.7,152,2004,"Biography, Drama, Music",134004,2004-09-12,Taylor Hackford
39,tt0303933,2013-10-05,2013-10-05,,Drumline,https://www.imdb.com/title/tt0303933/,movie,5.8,118,2002,"Comedy, Drama, Romance, Music",32356,2002-08-07,Charles Stone III
40,tt0362227,2013-10-05,2013-10-05,,The Terminal,https://www.imdb.com/title/tt0362227/,movie,7.4,128,2004,"Comedy, Drama, Romance",388998,2004-06-09,Steven Spielberg
41,tt0372824,2013-10-05,2013-10-05,,Les choristes,https://www.imdb.com/title/tt0372824/,movie,7.9,97,2004,"Drama, Music",55341,2004-03-17,Christophe Barratier
42,tt0116483,2013-10-05,2013-10-05,,Happy Gilmore,https://www.imdb.com/title/tt0116483/,movie,7.0,92,1996,"Comedy, Sport",189604,1996-02-07,Dennis Dugan
43,tt0230030,2013-10-05,2013-10-05,,Bedazzled,https://www.imdb.com/title/tt0230030/,movie,6.0,93,2000,"Comedy, Fantasy",94101,2000-10-17,Harold Ramis
44,tt0315327,2013-10-05,2013-10-05,,Bruce Almighty,https://www.imdb.com/title/tt0315327/,movie,6.7,101,2003,"Comedy, Drama, Fantasy",361145,2003-05-14,Tom Shadyac
45,tt0183505,2013-10-05,2013-10-05,,"Me, Myself & Irene",https://www.imdb.com/title/tt0183505/,movie,6.6,116,2000,Comedy,216838,2000-06-15,"Bobby Farrelly, Peter Farrelly"
46,tt0120888,2013-10-05,2013-10-05,,The Wedding Singer,https://www.imdb.com/title/tt0120888/,movie,6.8,97,1998,"Comedy, Music, Romance",130313,1998-02-12,Frank Coraci
47,tt0108037,2013-10-05,2013-10-05,,The Sandlot,https://www.imdb.com/title/tt0108037/,movie,7.8,101,1993,"Comedy, Drama, Family, Sport",75589,1993-04-07,David Mickey Evans
48,tt0332379,2013-10-05,2013-10-05,,The School of Rock,https://www.imdb.com/title/tt0332379/,movie,7.1,109,2003,"Comedy, Music",257879,2003-09-09,Richard Linklater
49,tt1286159,2013-10-05,2013-10-05,,1981,https://www.imdb.com/title/tt1286159/,movie,7.2,102,2009,"Comedy, Drama, Family, Romance",1562,2009-09-04,Ricardo Trogi
50,tt0097131,2013-10-05,2013-10-05,,Cruising Bar,https://www.imdb.com/title/tt0097131/,movie,6.8,96,1989,Comedy,986,1989-07-14,Robert Ménard
51,tt1756750,2013-10-05,2013-10-05,,Starbuck,https://www.imdb.com/title/tt1756750/,movie,7.2,109,2011,"Comedy, Drama, Romance",15538,2011-07-27,Ken Scott
52,tt1280501,2013-10-05,2013-10-05,,Ce qu'il faut pour vivre,https://www.imdb.com/title/tt1280501/,movie,7.4,102,2008,Drama,830,2008-08-25,Benoit Pilon
53,tt1427703,2013-10-05,2013-10-05,,À l'ouest de Pluton,https://www.imdb.com/title/tt1427703/,movie,7.2,90,2008,"Documentary, Drama",255,2008-10-24,"Myriam Verreault, Henry Bernadet"
54,tt0437230,2013-10-05,2013-10-05,,Horloge biologique,https://www.imdb.com/title/tt0437230/,movie,7.1,100,2005,Comedy,1153,2005-08-01,Ricardo Trogi
55,tt0762142,2013-10-05,2013-10-05,,Les 3 p'tits cochons,https://www.imdb.com/title/tt0762142/,movie,7.0,124,2007,Comedy,1261,2007-08-10,Patrick Huard
