Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0047478,2015-02-13,2015-02-13,,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.6,207,1954,"Action, Adventure, Drama",302163,1954-04-26,Akira Kurosawa
2,tt0118799,2015-02-13,2015-02-13,,La vita è bella,https://www.imdb.com/title/tt0118799/,movie,8.6,116,1997,"Comedy, Drama, Romance, War",594696,1997-12-20,Roberto Benigni
3,tt0082096,2015-02-13,2015-02-13,,Das Boot,https://www.imdb.com/title/tt0082096/,movie,8.3,149,1981,"Adventure, Drama, Thriller, War",222442,1981-09-17,Wolfgang Petersen
4,tt0405094,2015-02-13,2015-02-13,,Das Leben der Anderen,https://www.imdb.com/title/tt0405094/,movie,8.4,137,2006,"Drama, Mystery, Thriller",343545,2006-03-15,Florian Henckel von Donnersmarck
5,tt1305806,2015-02-13,2015-02-13,,El secreto de sus ojos,https://www.imdb.com/title/tt1305806/,movie,8.2,129,2009,"Drama, Mystery, Romance, Thriller",184015,2009-08-13,Juan José Campanella
6,tt0317248,2015-02-13,2015-02-13,,Cidade de Deus,https://www.imdb.com/title/tt0317248/,movie,8.6,130,2002,"Crime, Drama",677213,2002-05-18,"Kátia Lund, Fernando Meirelles"
7,tt0245429,2015-02-13,2015-02-13,,Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429/,movie,8.6,125,2001,"Animation, Adventure, Family, Fantasy, Mystery",609192,2001-07-20,Hayao Miyazaki
8,tt1675434,2015-02-13,2015-02-13,,Intouchables,https://www.imdb.com/title/tt1675434/,movie,8.5,112,2011,"Biography, Comedy, Drama",724846,2011-09-23,"Olivier Nakache, Éric Toledano"
9,tt0095765,2015-02-13,2015-02-13,,Nuovo Cinema Paradiso,https://www.imdb.com/title/tt0095765/,movie,8.5,155,1988,Drama,217214,1988-09-29,Giuseppe Tornatore
10,tt0364569,2015-02-13,2015-02-13,,Oldeuboi,https://www.imdb.com/title/tt0364569/,movie,8.4,120,2003,"Action, Drama, Mystery, Thriller",491444,2003-11-21,Chan-wook Park
11,tt0211915,2015-02-13,2015-02-13,,Le fabuleux destin d'Amélie Poulain,https://www.imdb.com/title/tt0211915/,movie,8.3,122,2001,"Comedy, Romance",682224,2001-04-25,Jean-Pierre Jeunet
12,tt0119698,2015-02-13,2015-02-13,,Mononoke-hime,https://www.imdb.com/title/tt0119698/,movie,8.4,134,1997,"Animation, Adventure, Fantasy",321313,1997-07-12,Hayao Miyazaki
13,tt0040522,2015-02-13,2015-02-13,,Ladri di biciclette,https://www.imdb.com/title/tt0040522/,movie,8.3,89,1948,Drama,137850,1948-11-21,Vittorio De Sica
14,tt0042876,2015-02-13,2015-02-13,,Rashômon,https://www.imdb.com/title/tt0042876/,movie,8.2,88,1950,"Crime, Drama, Mystery",144750,1950-08-26,Akira Kurosawa
15,tt0055630,2015-02-13,2015-02-13,,Yôjinbô,https://www.imdb.com/title/tt0055630/,movie,8.2,110,1961,"Action, Drama, Thriller",104856,1961-04-25,Akira Kurosawa
16,tt0089881,2015-02-13,2015-02-13,,Ran,https://www.imdb.com/title/tt0089881/,movie,8.2,162,1985,"Action, Drama, War",106032,1985-05-25,Akira Kurosawa
17,tt0363163,2015-02-13,2015-02-13,,Der Untergang,https://www.imdb.com/title/tt0363163/,movie,8.2,156,2004,"Biography, Drama, History, War",320221,2004-09-08,Oliver Hirschbiegel
18,tt2106476,2015-02-13,2015-02-13,,Jagten,https://www.imdb.com/title/tt2106476/,movie,8.3,115,2012,Drama,262958,2012-05-20,Thomas Vinterberg
19,tt0050976,2015-02-13,2015-02-13,,Det sjunde inseglet,https://www.imdb.com/title/tt0050976/,movie,8.2,96,1957,"Drama, Fantasy",155241,1957-02-16,Ingmar Bergman
20,tt0116231,2015-02-13,2015-02-13,,Eskiya,https://www.imdb.com/title/tt0116231/,movie,8.3,128,1996,"Crime, Drama, Thriller",60353,1996-11-29,Yavuz Turgul
21,tt0044741,2015-02-13,2015-02-13,,Ikiru,https://www.imdb.com/title/tt0044741/,movie,8.3,143,1952,Drama,63391,1952-10-09,Akira Kurosawa
22,tt0050986,2015-02-13,2015-02-13,,Smultronstället,https://www.imdb.com/title/tt0050986/,movie,8.2,91,1957,"Drama, Romance",90512,1957-12-26,Ingmar Bergman
23,tt0347149,2015-02-13,2015-02-13,,Hauru no ugoku shiro,https://www.imdb.com/title/tt0347149/,movie,8.2,119,2004,"Animation, Adventure, Family, Fantasy",308020,2004-09-05,Hayao Miyazaki
24,tt1255953,2015-02-13,2015-02-13,,Incendies,https://www.imdb.com/title/tt1255953/,movie,8.3,131,2010,"Drama, Mystery, War",137454,2010-09-03,Denis Villeneuve
25,tt0046911,2015-02-13,2015-02-13,,Les diaboliques,https://www.imdb.com/title/tt0046911/,movie,8.0,117,1955,"Crime, Drama, Horror, Mystery, Thriller",59467,1955-01-29,Henri-Georges Clouzot
26,tt0245712,2015-02-13,2015-02-13,,Amores perros,https://www.imdb.com/title/tt0245712/,movie,8.1,154,2000,"Drama, Thriller",216114,2000-05-14,Alejandro G. Iñárritu
27,tt0087544,2015-02-13,2015-02-13,,Kaze no tani no Naushika,https://www.imdb.com/title/tt0087544/,movie,8.1,117,1984,"Animation, Adventure, Fantasy, Sci-Fi",140230,1984-03-11,Hayao Miyazaki
28,tt0056801,2015-02-13,2015-02-13,,8½,https://www.imdb.com/title/tt0056801/,movie,8.0,138,1963,Drama,104416,1963-02-13,Federico Fellini
29,tt0338564,2015-02-13,2015-02-13,,Mou gaan dou,https://www.imdb.com/title/tt0338564/,movie,8.0,101,2002,"Crime, Drama, Mystery, Thriller",115203,2002-12-12,"Andrew Lau, Alan Mak"
30,tt0050613,2015-02-13,2015-02-13,,Kumonosu-jô,https://www.imdb.com/title/tt0050613/,movie,8.1,110,1957,"Drama, History",43197,1957-01-15,Akira Kurosawa
31,tt0079944,2015-02-13,2015-02-13,,Stalker,https://www.imdb.com/title/tt0079944/,movie,8.2,162,1979,"Drama, Sci-Fi",108308,1979-01-01,Andrei Tarkovsky
32,tt0069293,2015-02-13,2015-02-13,,Solyaris,https://www.imdb.com/title/tt0069293/,movie,8.1,167,1972,"Drama, Mystery, Sci-Fi",76026,1972-02-05,Andrei Tarkovsky
33,tt1220719,2015-02-13,2015-02-13,,Yip Man,https://www.imdb.com/title/tt1220719/,movie,8.0,106,2008,"Action, Adventure, Biography, Drama, History",205065,2008-12-12,Wilson Yip
34,tt0058946,2015-02-13,2015-02-13,,La battaglia di Algeri,https://www.imdb.com/title/tt0058946/,movie,8.1,121,1966,"Drama, War",49848,1966-08-31,Gillo Pontecorvo
35,tt0083922,2015-02-13,2015-02-13,,Fanny och Alexander,https://www.imdb.com/title/tt0083922/,movie,8.1,188,1982,Drama,54885,1982-12-17,Ingmar Bergman
