Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0137523,2016-06-12,2016-06-12,,Fight Club,https://www.imdb.com/title/tt0137523/,movie,8.8,139,1999,Drama,1780628,1999-09-10,David Fincher
2,tt0390384,2016-06-12,2016-06-12,,Primer,https://www.imdb.com/title/tt0390384/,movie,6.9,77,2004,"Drama, Sci-Fi, Thriller",94219,2004-01-16,Shane Carruth
3,tt1276104,2016-06-12,2016-06-12,,Looper,https://www.imdb.com/title/tt1276104/,movie,7.4,113,2012,"Action, Adventure, Crime, Drama, Sci-Fi, Thriller",520329,2012-09-06,Rian Johnson
4,tt0209144,2016-06-12,2016-06-12,,Memento,https://www.imdb.com/title/tt0209144/,movie,8.4,113,2000,"Mystery, Thriller",1081800,2000-09-05,Christopher Nolan
5,tt2397535,2016-06-12,2016-06-12,,Predestination,https://www.imdb.com/title/tt2397535/,movie,7.5,97,2014,"Action, Adventure, Drama, Mystery, Sci-Fi, Thriller",240312,2014-03-08,"Michael Spierig, Peter Spierig"
6,tt0482571,2016-06-12,2016-06-12,,The Prestige,https://www.imdb.com/title/tt0482571/,movie,8.5,130,2006,"Drama, Mystery, Sci-Fi, Thriller",1133475,2006-10-17,Christopher Nolan
7,tt0361862,2016-06-12,2016-06-12,,The Machinist,https://www.imdb.com/title/tt0361862/,movie,7.7,101,2004,"Drama, Thriller",345785,2004-01-18,Brad Anderson
8,tt0119174,2016-06-12,2016-06-12,,The Game,https://www.imdb.com/title/tt0119174/,movie,7.8,129,1997,"Action, Drama, Mystery, Thriller",331221,1997-09-03,David Fincher
9,tt2267998,2016-06-12,2016-06-12,,Gone Girl,https://www.imdb.com/title/tt2267998/,movie,8.1,149,2014,"Drama, Mystery, Thriller",816580,2014-09-26,David Fincher
10,tt0246578,2016-06-12,2016-06-12,,Donnie Darko,https://www.imdb.com/title/tt0246578/,movie,8.0,113,2001,"Drama, Mystery, Sci-Fi, Thriller",721123,2001-01-19,Richard Kelly
11,tt0120601,2016-06-12,2016-06-12,,Being John Malkovich,https://www.imdb.com/title/tt0120601/,movie,7.7,113,1999,"Comedy, Drama, Fantasy",299084,1999-09-02,Spike Jonze
12,tt1187064,2016-06-12,2016-06-12,,Triangle,https://www.imdb.com/title/tt1187064/,movie,6.9,99,2009,"Fantasy, Mystery, Thriller",97027,2009-08-27,Christopher Smith
13,tt0272152,2016-06-12,2016-06-12,,K-PAX,https://www.imdb.com/title/tt0272152/,movie,7.4,120,2001,"Drama, Mystery, Sci-Fi",171765,2001-10-22,Iain Softley
14,tt0289992,2016-06-12,2016-06-12,,The Life of David Gale,https://www.imdb.com/title/tt0289992/,movie,7.6,130,2003,"Crime, Drama, Thriller",105429,2003-02-07,Alan Parker
15,tt1130884,2016-06-12,2016-06-12,,Shutter Island,https://www.imdb.com/title/tt1130884/,movie,8.1,138,2010,"Mystery, Thriller",1075438,2010-02-13,Martin Scorsese
16,tt0485947,2016-06-12,2016-06-12,,Mr. Nobody,https://www.imdb.com/title/tt0485947/,movie,7.8,141,2009,"Drama, Fantasy, Romance, Sci-Fi",208419,2009-09-11,Jaco Van Dormael
17,tt1375666,2016-06-12,2016-06-12,,Inception,https://www.imdb.com/title/tt1375666/,movie,8.8,148,2010,"Action, Adventure, Sci-Fi, Thriller",1961237,2010-07-08,Christopher Nolan
18,tt0230600,2016-06-12,2016-06-12,,The Others,https://www.imdb.com/title/tt0230600/,movie,7.6,101,2001,"Horror, Mystery, Thriller",326449,2001-08-02,Alejandro Amenábar
19,tt0414993,2016-06-12,2016-06-12,,The Fountain,https://www.imdb.com/title/tt0414993/,movie,7.2,97,2006,"Drama, Mystery, Romance, Sci-Fi",222928,2006-09-04,Darren Aronofsky
