Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0066921,2016-07-10,2016-07-10,"The second (and last) X-rated Best-Picture nominee, Stanley Kubrick's dystopian future appalled some viewers with its ultra-violence.",A Clockwork Orange,https://www.imdb.com/title/tt0066921/,movie,8.3,136,1971,"Crime, Drama, Sci-Fi",729097,1971-12-19,Stanley Kubrick
2,tt0078935,2016-07-10,2016-07-10,This gore-soaked movie‚??s use of ‚??found footage‚?ù to reveal the fate of a missing documentary crew made it seem too real.,Cannibal Holocaust,https://www.imdb.com/title/tt0078935/,movie,5.9,95,1980,"Adventure, Horror",48594,1980-02-07,Ruggero Deodato
3,tt0073650,2016-07-10,2016-07-10,Pier Paolo Pasolini‚??s politically provocative and sexually explicit movie equates fascism and sexual torture.,SalÚ o le 120 giornate di Sodoma,https://www.imdb.com/title/tt0073650/,movie,5.9,117,1975,"Drama, Horror, War",51678,1975-11-22,Pier Paolo Pasolini
4,tt0070047,2016-07-10,2016-07-10,"The sight of 13-year-old Linda Blair vomiting, swearing, and abusing herself with a crucifix horrified moviegoers and critics.",The Exorcist,https://www.imdb.com/title/tt0070047/,movie,8.0,122,1973,Horror,349783,1973-12-26,William Friedkin
5,tt0077713,2016-07-10,2016-07-10,This rape-revenge movie so incensed critics Roger Ebert and Gene Siskel that they tried to have it pulled from theaters.,Day of the Woman,https://www.imdb.com/title/tt0077713/,movie,5.7,101,1978,"Horror, Thriller",25067,1978-05-23,Meir Zarchi
6,tt0080491,2016-07-10,2016-07-10,"Variety dubbed this historical epic -- written by Gore Vidal, produced by Bob Guccione, and directed by Tinto Brass -- a ‚??moral holocaust.‚?ù",Caligola,https://www.imdb.com/title/tt0080491/,movie,5.4,156,1979,"Drama, History",32583,1979-08-14,Tinto Brass
7,tt0110632,2016-07-10,2016-07-10,"Directed by Oliver Stone from a Quentin Tarantino script, this look at sexual obsession was blamed for inspiring real-life murders.",Natural Born Killers,https://www.imdb.com/title/tt0110632/,movie,7.3,118,1994,"Action, Crime, Drama",209543,1994-08-26,Oliver Stone
8,tt0113540,2016-07-10,2016-07-10,"A realistic look at drugging, hook ups, and frank sex talk among teens, photographer Larry Clark‚??s movie was labeled salacious and pedophilic.",Kids,https://www.imdb.com/title/tt0113540/,movie,7.1,91,1995,Drama,70746,1995-01-31,Larry Clark
9,tt0180093,2016-07-10,2016-07-10,Darren Aronofsky‚??s hallucinatory chronicle of addiction had to be released unrated when he refused to cut a degrading orgy.,Requiem for a Dream,https://www.imdb.com/title/tt0180093/,movie,8.3,102,2000,Drama,737536,2000-05-14,Darren Aronofsky
10,tt0072271,2016-07-10,2016-07-10,"Rural cannibals slaughter soft city folks in the first ‚??meat movie,‚?ù a horror tale rooted in realistic violence and social malaise.",The Texas Chain Saw Massacre,https://www.imdb.com/title/tt0072271/,movie,7.5,83,1974,Horror,129763,1974-10-01,Tobe Hooper
11,tt0054215,2016-07-10,2016-07-10,Viewers used to Hitchcock's Technicolor thrillers were stunned by this black-and-white shocker that dared to kill Janet Leigh before the halfway mark.,Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",574051,1960-06-16,Alfred Hitchcock
12,tt0068468,2016-07-10,2016-07-10,"The movie that ushered in ‚??porno chic,‚?ù Deep Throat sparked precedent-setting court cases that challenged assumptions about obscenity.",Deep Throat,https://www.imdb.com/title/tt0068468/,movie,5.1,61,1972,"Adult, Comedy",6240,1972-06-12,Gerard Damiano
13,tt0068833,2016-07-10,2016-07-10,"Wes Craven changed Ingmar Bergman‚??s The Virgin Spring into a crude, taboo-breaking shocker.",The Last House on the Left,https://www.imdb.com/title/tt0068833/,movie,6.0,84,1972,"Horror, Thriller",31166,1972-08-02,Wes Craven
14,tt1467304,2016-07-10,2016-07-10,"In this grotesque movie, a mad doctor turns three young victims into a twelve-limbed abomination.",The Human Centipede (First Sequence),https://www.imdb.com/title/tt1467304/,movie,4.4,92,2009,Horror,70814,2009-08-30,Tom Six
15,tt0056193,2016-07-10,2016-07-10,Stanley Kubrick played up the dark humor in Nabokov‚??s novel about a middle-aged man infatuated with a pubescent girl.,Lolita,https://www.imdb.com/title/tt0056193/,movie,7.6,153,1962,"Crime, Drama, Romance",88731,1962-06-13,Stanley Kubrick
16,tt0077533,2016-07-10,2016-07-10,"The fact that it was ‚??banned in 40 countries‚?ù was a selling point for this morbid collection of death scenes, some real and some fake.",Faces of Death,https://www.imdb.com/title/tt0077533/,movie,4.2,105,1978,"Documentary, Horror",5946,1978-11-10,John Alan Schwartz
