Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0033467,2011-12-10,2011-12-10,,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",382599,1941-05-01,Orson Welles
2,tt0031885,2011-12-10,2011-12-10,,La règle du jeu,https://www.imdb.com/title/tt0031885/,movie,8.0,110,1939,"Comedy, Drama",25597,1939-07-08,Jean Renoir
3,tt0015648,2011-12-10,2011-12-10,,Bronenosets Potemkin,https://www.imdb.com/title/tt0015648/,movie,8.0,75,1925,"Drama, History, Thriller",50889,1925-12-24,Sergei M. Eisenstein
4,tt0056801,2011-12-10,2011-12-10,,8½,https://www.imdb.com/title/tt0056801/,movie,8.0,138,1963,Drama,104416,1963-02-13,Federico Fellini
5,tt0045152,2011-12-10,2011-12-10,,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,movie,8.3,103,1952,"Comedy, Musical, Romance",209203,1952-03-27,"Gene Kelly, Stanley Donen"
6,tt0027977,2011-12-10,2011-12-10,,Modern Times,https://www.imdb.com/title/tt0027977/,movie,8.5,87,1936,"Comedy, Drama, Family, Romance",206487,1936-02-05,Charles Chaplin
7,tt0050986,2011-12-10,2011-12-10,,Smultronstället,https://www.imdb.com/title/tt0050986/,movie,8.2,91,1957,"Drama, Romance",90512,1957-12-26,Ingmar Bergman
8,tt0015864,2011-12-10,2011-12-10,,The Gold Rush,https://www.imdb.com/title/tt0015864/,movie,8.2,95,1925,"Adventure, Comedy, Drama, Western",95183,1925-06-26,Charles Chaplin
9,tt0034583,2011-12-10,2011-12-10,,Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",501896,1942-11-26,Michael Curtiz
10,tt0042876,2011-12-10,2011-12-10,,Rashômon,https://www.imdb.com/title/tt0042876/,movie,8.2,88,1950,"Crime, Drama, Mystery",144750,1950-08-26,Akira Kurosawa
11,tt0040522,2011-12-10,2011-12-10,,Ladri di biciclette,https://www.imdb.com/title/tt0040522/,movie,8.3,89,1948,Drama,137850,1948-11-21,Vittorio De Sica
12,tt0021749,2011-12-10,2011-12-10,,City Lights,https://www.imdb.com/title/tt0021749/,movie,8.5,87,1931,"Comedy, Drama, Romance",158848,1931-01-30,Charles Chaplin
13,tt0037674,2011-12-10,2011-12-10,,Les enfants du paradis,https://www.imdb.com/title/tt0037674/,movie,8.4,189,1945,"Drama, Romance",17537,1945-03-09,Marcel Carné
14,tt0018455,2011-12-10,2011-12-10,,Sunrise: A Song of Two Humans,https://www.imdb.com/title/tt0018455/,movie,8.1,94,1927,"Drama, Romance",45424,1927-09-23,F.W. Murnau
15,tt0046022,2011-12-10,2011-12-10,,Madame de...,https://www.imdb.com/title/tt0046022/,movie,8.0,105,1953,"Drama, Romance",8420,1953-09-16,Max Ophüls
16,tt0028950,2011-12-10,2011-12-10,,La grande illusion,https://www.imdb.com/title/tt0028950/,movie,8.1,113,1937,"Drama, War",32578,1937-06-08,Jean Renoir
17,tt0049730,2011-12-10,2011-12-10,,The Searchers,https://www.imdb.com/title/tt0049730/,movie,7.9,119,1956,"Adventure, Drama, Western",76978,1956-05-16,John Ford
18,tt0062622,2011-12-10,2011-12-10,,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,movie,8.3,149,1968,"Adventure, Sci-Fi",577082,1968-04-02,Stanley Kubrick
19,tt0053291,2011-12-10,2011-12-10,,Some Like It Hot,https://www.imdb.com/title/tt0053291/,movie,8.2,121,1959,"Comedy, Music, Romance",233918,1959-03-19,Billy Wilder
20,tt0037824,2011-12-10,2011-12-10,,Ivan Groznyy,https://www.imdb.com/title/tt0037824/,movie,7.8,103,1944,"Biography, Drama, History",8668,1944-12-30,Sergei M. Eisenstein
21,tt0055032,2011-12-10,2011-12-10,,Jules et Jim,https://www.imdb.com/title/tt0055032/,movie,7.8,105,1962,"Drama, Romance",35727,1962-01-23,François Truffaut
22,tt0031971,2011-12-10,2011-12-10,,Stagecoach,https://www.imdb.com/title/tt0031971/,movie,7.9,96,1939,"Adventure, Drama, Western",41062,1939-02-10,John Ford
23,tt0052357,2011-12-10,2011-12-10,,Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.3,128,1958,"Mystery, Romance, Thriller",343665,1958-05-09,Alfred Hitchcock
24,tt0047478,2011-12-10,2011-12-10,,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.6,207,1954,"Action, Adventure, Drama",302163,1954-04-26,Akira Kurosawa
25,tt0046438,2011-12-10,2011-12-10,,Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,movie,8.2,136,1953,Drama,48522,1953-11-03,Yasujirô Ozu
26,tt0060107,2011-12-10,2011-12-10,,Andrey Rublev,https://www.imdb.com/title/tt0060107/,movie,8.2,205,1966,"Biography, Drama, History",43309,1966-12-16,Andrei Tarkovsky
27,tt0083922,2011-12-10,2011-12-10,,Fanny och Alexander,https://www.imdb.com/title/tt0083922/,movie,8.1,188,1982,Drama,54885,1982-12-17,Ingmar Bergman
28,tt0024844,2011-12-10,2011-12-10,,L'Atalante,https://www.imdb.com/title/tt0024844/,movie,7.8,89,1934,"Comedy, Drama, Romance",13810,1934-04-24,Jean Vigo
29,tt0055601,2011-12-10,2011-12-10,,Viridiana,https://www.imdb.com/title/tt0055601/,movie,8.2,90,1961,"Comedy, Drama",21091,1961-05-17,Luis Buñuel
30,tt0041546,2011-12-10,2011-12-10,,Kind Hearts and Coronets,https://www.imdb.com/title/tt0041546/,movie,8.0,106,1949,"Comedy, Crime",33313,1949-06-23,Robert Hamer
31,tt0041959,2011-12-10,2011-12-10,,The Third Man,https://www.imdb.com/title/tt0041959/,movie,8.1,104,1949,"Film-Noir, Mystery, Thriller",152725,1949-05-31,Carol Reed
32,tt0046478,2011-12-10,2011-12-10,,Ugetsu monogatari,https://www.imdb.com/title/tt0046478/,movie,8.3,96,1953,"Drama, Fantasy, War",19412,1953-03-26,Kenji Mizoguchi
33,tt0024803,2011-12-10,2011-12-10,,Zéro de conduite: Jeunes diables au collège,https://www.imdb.com/title/tt0024803/,short,7.3,44,1933,"Short, Comedy, Drama",7461,1933-04-07,Jean Vigo
34,tt0044741,2011-12-10,2011-12-10,,Ikiru,https://www.imdb.com/title/tt0044741/,movie,8.3,143,1952,Drama,63391,1952-10-09,Akira Kurosawa
35,tt0048473,2011-12-10,2011-12-10,,Pather Panchali,https://www.imdb.com/title/tt0048473/,movie,8.6,125,1955,Drama,21036,1955-08-26,Satyajit Ray
36,tt0045537,2011-12-10,2011-12-10,,The Band Wagon,https://www.imdb.com/title/tt0045537/,movie,7.5,112,1953,"Comedy, Musical, Romance",9597,1953-07-09,Vincente Minnelli
37,tt0031381,2011-12-10,2011-12-10,,Gone with the Wind,https://www.imdb.com/title/tt0031381/,movie,8.1,238,1939,"Drama, History, Romance, War",277813,1939-12-15,"Sam Wood, George Cukor, Victor Fleming"
38,tt0033870,2011-12-10,2011-12-10,,The Maltese Falcon,https://www.imdb.com/title/tt0033870/,movie,8.0,100,1941,"Film-Noir, Mystery",145123,1941-10-03,John Huston
39,tt0053779,2011-12-10,2011-12-10,,La dolce vita,https://www.imdb.com/title/tt0053779/,movie,8.0,174,1960,"Comedy, Drama",63034,1960-02-03,Federico Fellini
40,tt0052893,2011-12-10,2011-12-10,,Hiroshima mon amour,https://www.imdb.com/title/tt0052893/,movie,7.9,90,1959,"Drama, Romance",26711,1959-05-08,Alain Resnais
41,tt0038890,2011-12-10,2011-12-10,,Roma città aperta,https://www.imdb.com/title/tt0038890/,movie,8.0,103,1945,"Drama, Thriller, War",22080,1945-09-24,Roberto Rossellini
42,tt0052311,2011-12-10,2011-12-10,,Touch of Evil,https://www.imdb.com/title/tt0052311/,movie,8.0,95,1958,"Crime, Drama, Film-Noir, Thriller",95744,1958-03-30,Orson Welles
43,tt0021577,2011-12-10,2011-12-10,,L'âge d'or,https://www.imdb.com/title/tt0021577/,movie,7.3,60,1930,"Comedy, Drama",12191,1930-11-28,Luis Buñuel
44,tt0019254,2011-12-10,2011-12-10,,La passion de Jeanne d'Arc,https://www.imdb.com/title/tt0019254/,movie,8.1,110,1928,"Biography, Drama, History",44432,1928-04-21,Carl Theodor Dreyer
45,tt0050976,2011-12-10,2011-12-10,,Det sjunde inseglet,https://www.imdb.com/title/tt0050976/,movie,8.2,96,1957,"Drama, Fantasy",155241,1957-02-16,Ingmar Bergman
46,tt0071129,2011-12-10,2011-12-10,,Amarcord,https://www.imdb.com/title/tt0071129/,movie,7.9,123,1973,"Comedy, Drama",37982,1973-12-18,Federico Fellini
47,tt0047445,2011-12-10,2011-12-10,,Sanshô dayû,https://www.imdb.com/title/tt0047445/,movie,8.4,124,1954,Drama,13625,1954-03-31,Kenji Mizoguchi
48,tt0053619,2011-12-10,2011-12-10,,L'avventura,https://www.imdb.com/title/tt0053619/,movie,7.9,144,1960,"Drama, Mystery",24870,1960-05-15,Michelangelo Antonioni
49,tt0017925,2011-12-10,2011-12-10,,The General,https://www.imdb.com/title/tt0017925/,movie,8.1,67,1926,"Action, Adventure, Comedy, Drama, War",76868,1926-12-25,"Buster Keaton, Clyde Bruckman"
50,tt0045112,2011-12-10,2011-12-10,,Saikaku ichidai onna,https://www.imdb.com/title/tt0045112/,movie,8.2,148,1952,Drama,5798,1952-04-17,Kenji Mizoguchi
51,tt0068361,2011-12-10,2011-12-10,,Le charme discret de la bourgeoisie,https://www.imdb.com/title/tt0068361/,movie,7.9,102,1972,Comedy,36201,1972-09-15,Luis Buñuel
52,tt0018192,2011-12-10,2011-12-10,,Napoléon vu par Abel Gance,https://www.imdb.com/title/tt0018192/,movie,8.1,240,1927,"Biography, Drama, History, War",6605,1927-04-07,Abel Gance
53,tt0091670,2011-12-10,2011-12-10,,Offret,https://www.imdb.com/title/tt0091670/,movie,8.1,149,1986,Drama,22368,1986-05-09,Andrei Tarkovsky
54,tt0050783,2011-12-10,2011-12-10,,Le notti di Cabiria,https://www.imdb.com/title/tt0050783/,movie,8.1,110,1957,Drama,41018,1957-05-11,Federico Fellini
55,tt0033152,2011-12-10,2011-12-10,,The Thief of Bagdad,https://www.imdb.com/title/tt0033152/,movie,7.5,106,1940,"Adventure, Family, Fantasy, Romance",11430,1940-10-14,"Alexander Korda, Ludwig Berger, Tim Whelan, Michael Powell, Zoltan Korda, William Cameron Menzies"
56,tt0029850,2011-12-10,2011-12-10,,Aleksandr Nevskiy,https://www.imdb.com/title/tt0029850/,movie,7.6,112,1938,"Action, Biography, Drama, History, War",10102,1938-11-25,"Dmitriy Vasilev, Sergei M. Eisenstein"
57,tt0048028,2011-12-10,2011-12-10,,East of Eden,https://www.imdb.com/title/tt0048028/,movie,7.9,118,1955,Drama,38697,1955-03-09,Elia Kazan
58,tt0030341,2011-12-10,2011-12-10,,The Lady Vanishes,https://www.imdb.com/title/tt0030341/,movie,7.8,96,1938,"Mystery, Thriller",45168,1938-10-07,Alfred Hitchcock
59,tt0015163,2011-12-10,2011-12-10,,The Navigator,https://www.imdb.com/title/tt0015163/,movie,7.7,59,1924,"Action, Comedy, Romance",8681,1924-09-28,"Donald Crisp, Buster Keaton"
60,tt0048452,2011-12-10,2011-12-10,,Ordet,https://www.imdb.com/title/tt0048452/,movie,8.3,126,1955,Drama,13243,1955-01-10,Carl Theodor Dreyer
61,tt0073486,2011-12-10,2011-12-10,,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,878184,1975-11-19,Milos Forman
62,tt0052080,2011-12-10,2011-12-10,,Popiól i diament,https://www.imdb.com/title/tt0052080/,movie,7.8,103,1958,"Drama, Romance, War",9984,1958-10-03,Andrzej Wajda
63,tt0047469,2011-12-10,2011-12-10,,Senso,https://www.imdb.com/title/tt0047469/,movie,7.5,123,1954,"Drama, History, Romance, War",5805,1954-09-02,Luchino Visconti
