Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0052618,2013-08-27,2013-08-27,1960 - 11 wins,Ben-Hur,https://www.imdb.com/title/tt0052618/,movie,8.1,212,1959,"Adventure, Drama, History",211772,1959-11-18,William Wyler
2,tt0120338,2013-08-27,2013-08-27,1998 - 11 wins,Titanic,https://www.imdb.com/title/tt0120338/,movie,7.8,194,1997,"Drama, Romance",1009038,1997-11-01,James Cameron
3,tt0167260,2013-08-27,2013-08-27,2004 - 11 wins,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,8.9,201,2003,"Adventure, Drama, Fantasy",1582277,2003-12-01,Peter Jackson
4,tt0055614,2013-08-27,2013-08-27,1962 - 10 wins,West Side Story,https://www.imdb.com/title/tt0055614/,movie,7.5,153,1961,"Crime, Drama, Musical, Romance",92752,1961-10-18,"Jerome Robbins, Robert Wise"
5,tt0051658,2013-08-27,2013-08-27,1959 - 9 wins,Gigi,https://www.imdb.com/title/tt0051658/,movie,6.7,115,1958,"Comedy, Musical, Romance",18823,1958-05-15,"Charles Walters, Vincente Minnelli"
6,tt0093389,2013-08-27,2013-08-27,1988 - 9 wins,The Last Emperor,https://www.imdb.com/title/tt0093389/,movie,7.7,163,1987,"Biography, Drama, History",90025,1987-10-04,Bernardo Bertolucci
7,tt0116209,2013-08-27,2013-08-27,1997 - 9 wins,The English Patient,https://www.imdb.com/title/tt0116209/,movie,7.4,162,1996,"Drama, Romance, War",173252,1996-10-31,Anthony Minghella
8,tt0031381,2013-08-27,2013-08-27,1940 - 8 wins,Gone with the Wind,https://www.imdb.com/title/tt0031381/,movie,8.1,238,1939,"Drama, History, Romance, War",277813,1939-12-15,"Sam Wood, George Cukor, Victor Fleming"
9,tt0045793,2013-08-27,2013-08-27,1954 - 8 wins,From Here to Eternity,https://www.imdb.com/title/tt0045793/,movie,7.6,118,1953,"Drama, Romance, War",41531,1953-08-05,Fred Zinnemann
10,tt0047296,2013-08-27,2013-08-27,1955 - 8 wins,On the Waterfront,https://www.imdb.com/title/tt0047296/,movie,8.1,108,1954,"Crime, Drama, Thriller",135877,1954-06-22,Elia Kazan
11,tt0058385,2013-08-27,2013-08-27,1965 - 8 wins,My Fair Lady,https://www.imdb.com/title/tt0058385/,movie,7.8,170,1964,"Drama, Family, Musical, Romance",83545,1964-10-21,George Cukor
12,tt0083987,2013-08-27,2013-08-27,1983 - 8 wins,Gandhi,https://www.imdb.com/title/tt0083987/,movie,8.0,191,1982,"Biography, Drama, History",213216,1982-11-30,Richard Attenborough
