Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0108052,2017-09-01,2017-09-01,,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",1163392,1993-11-30,Steven Spielberg
2,tt4666726,2017-09-01,2017-09-01,,Christine,https://www.imdb.com/title/tt4666726/,movie,6.9,119,2016,"Biography, Drama",12531,2016-01-23,Antonio Campos
3,tt3316960,2017-09-01,2017-09-01,,Still Alice,https://www.imdb.com/title/tt3316960/,movie,7.5,101,2014,Drama,122790,2014-09-08,"Richard Glatzer, Wash Westmoreland"
4,tt0120689,2017-09-01,2017-09-01,,The Green Mile,https://www.imdb.com/title/tt0120689/,movie,8.6,189,1999,"Crime, Drama, Fantasy, Mystery",1091017,1999-12-06,Frank Darabont
5,tt0314412,2017-09-01,2017-09-01,,My Life Without Me,https://www.imdb.com/title/tt0314412/,movie,7.5,106,2003,"Drama, Romance",23685,2003-02-10,Isabel Coixet
6,tt0107322,2018-02-21,2018-02-21,,King of the Hill,https://www.imdb.com/title/tt0107322/,movie,7.4,103,1993,"Drama, History",7238,1993-05-19,Steven Soderbergh
7,tt0380510,2017-09-01,2017-09-01,,The Lovely Bones,https://www.imdb.com/title/tt0380510/,movie,6.7,135,2009,"Drama, Fantasy, Thriller",152471,2009-11-24,Peter Jackson
8,tt0086312,2017-09-01,2017-09-01,,Silkwood,https://www.imdb.com/title/tt0086312/,movie,7.2,131,1983,"Biography, Drama, History, Thriller",17591,1983-12-12,Mike Nichols
9,tt0102492,2017-09-01,2017-09-01,,My Girl,https://www.imdb.com/title/tt0102492/,movie,6.9,102,1991,"Comedy, Drama, Family, Romance",69304,1991-11-27,Howard Zieff
10,tt0119349,2017-09-01,2017-09-01,,The Ice Storm,https://www.imdb.com/title/tt0119349/,movie,7.4,112,1997,Drama,52265,1997-05-12,Ang Lee
11,tt0089560,2017-09-01,2017-09-01,,Mask,https://www.imdb.com/title/tt0089560/,movie,7.2,120,1985,"Biography, Drama",25083,1985-03-08,Peter Bogdanovich
12,tt0090896,2019-12-11,2019-12-11,,Daemon,https://www.imdb.com/title/tt0090896/,tvMovie,5.3,65,1985,"Family, Horror, Mystery",35,1986-12-22,Colin Finbow
13,tt0099487,2017-09-01,2017-09-01,,Edward Scissorhands,https://www.imdb.com/title/tt0099487/,movie,7.9,105,1990,"Drama, Fantasy, Romance",432189,1990-12-06,Tim Burton
14,tt0086429,2017-09-01,2017-09-01,,Testament,https://www.imdb.com/title/tt0086429/,movie,6.9,90,1983,Drama,5539,1983-11-04,Lynne Littman
15,tt0450385,2017-09-01,2017-09-01,,1408,https://www.imdb.com/title/tt0450385/,movie,6.8,104,2007,"Fantasy, Horror, Mystery",249680,2007-06-12,Mikael Håfström
16,tt0117913,2017-09-01,2017-09-01,,A Time to Kill,https://www.imdb.com/title/tt0117913/,movie,7.5,149,1996,"Crime, Drama, Thriller",125634,1996-07-24,Joel Schumacher
17,tt1932767,2017-09-01,2017-09-01,,What Maisie Knew,https://www.imdb.com/title/tt1932767/,movie,7.4,99,2012,Drama,26226,2012-09-07,"Scott McGehee, David Siegel"
18,tt0469641,2017-09-01,2017-09-01,,World Trade Center,https://www.imdb.com/title/tt0469641/,movie,5.9,129,2006,"Drama, History, Thriller",76097,2006-08-09,Oliver Stone
