Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0114814,2013-01-01,2013-01-01,,The Usual Suspects,https://www.imdb.com/title/tt0114814/,movie,8.5,106,1995,"Crime, Mystery, Thriller",954369,1995-01-25,Bryan Singer
2,tt0230600,2013-01-01,2013-01-01,,The Others,https://www.imdb.com/title/tt0230600/,movie,7.6,101,2001,"Horror, Mystery, Thriller",326449,2001-08-02,Alejandro Amenábar
3,tt1187064,2013-01-01,2013-01-01,,Triangle,https://www.imdb.com/title/tt1187064/,movie,6.9,99,2009,"Fantasy, Mystery, Thriller",97027,2009-08-27,Christopher Smith
4,tt0364569,2013-01-01,2013-01-01,,Oldeuboi,https://www.imdb.com/title/tt0364569/,movie,8.4,120,2003,"Action, Drama, Mystery, Thriller",491444,2003-11-21,Chan-wook Park
5,tt0482571,2013-01-01,2013-01-01,,The Prestige,https://www.imdb.com/title/tt0482571/,movie,8.5,130,2006,"Drama, Mystery, Sci-Fi, Thriller",1133475,2006-10-17,Christopher Nolan
6,tt0137523,2013-01-01,2013-01-01,,Fight Club,https://www.imdb.com/title/tt0137523/,movie,8.8,139,1999,Drama,1780628,1999-09-10,David Fincher
7,tt1375666,2013-01-01,2013-01-01,,Inception,https://www.imdb.com/title/tt1375666/,movie,8.8,148,2010,"Action, Adventure, Sci-Fi, Thriller",1961237,2010-07-08,Christopher Nolan
8,tt0387564,2013-01-01,2013-01-01,,Saw,https://www.imdb.com/title/tt0387564/,movie,7.6,103,2004,"Horror, Mystery",367476,2004-01-19,James Wan
9,tt0432348,2013-01-01,2013-01-01,,Saw II,https://www.imdb.com/title/tt0432348/,movie,6.6,93,2005,"Horror, Mystery",226498,2005-10-28,Darren Lynn Bousman
10,tt0118971,2013-01-01,2013-01-01,,The Devil's Advocate,https://www.imdb.com/title/tt0118971/,movie,7.5,144,1997,"Drama, Mystery, Thriller",316500,1997-10-13,Taylor Hackford
11,tt0099871,2013-01-01,2013-01-01,,Jacob's Ladder,https://www.imdb.com/title/tt0099871/,movie,7.5,113,1990,"Drama, Horror, Mystery",95286,1990-10-29,Adrian Lyne
12,tt0154506,2013-01-01,2013-01-01,,Following,https://www.imdb.com/title/tt0154506/,movie,7.5,69,1998,"Crime, Mystery, Thriller",82190,1998-04-24,Christopher Nolan
13,tt0111161,2013-01-01,2013-01-01,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2237007,1994-09-10,Frank Darabont
14,tt0988045,2013-01-01,2013-01-01,,Sherlock Holmes,https://www.imdb.com/title/tt0988045/,movie,7.6,128,2009,"Action, Adventure, Crime, Mystery, Thriller",568368,2009-12-14,Guy Ritchie
15,tt1032755,2013-01-01,2013-01-01,,RocknRolla,https://www.imdb.com/title/tt1032755/,movie,7.3,114,2008,"Action, Crime, Thriller",228380,2008-09-04,Guy Ritchie
16,tt0425210,2013-01-01,2013-01-01,,Lucky Number Slevin,https://www.imdb.com/title/tt0425210/,movie,7.7,110,2006,"Crime, Drama, Mystery, Thriller",294854,2006-02-24,Paul McGuigan
17,tt0264616,2013-01-01,2013-01-01,,Frailty,https://www.imdb.com/title/tt0264616/,movie,7.2,100,2001,"Crime, Drama, Thriller",74003,2001-11-17,Bill Paxton
18,tt0244244,2013-01-01,2013-01-01,,Swordfish,https://www.imdb.com/title/tt0244244/,movie,6.5,99,2001,"Action, Crime, Thriller",172826,2001-06-04,Dominic Sena
19,tt0363988,2013-01-01,2013-01-01,,Secret Window,https://www.imdb.com/title/tt0363988/,movie,6.6,96,2004,"Drama, Mystery, Thriller",176608,2004-03-07,David Koepp
20,tt0361862,2013-01-01,2013-01-01,,The Machinist,https://www.imdb.com/title/tt0361862/,movie,7.7,101,2004,"Drama, Thriller",345785,2004-01-18,Brad Anderson
21,tt0945513,2013-01-01,2013-01-01,,Source Code,https://www.imdb.com/title/tt0945513/,movie,7.5,93,2011,"Action, Drama, Mystery, Sci-Fi, Thriller",471212,2011-03-11,Duncan Jones
22,tt0137363,2013-01-01,2013-01-01,,Arlington Road,https://www.imdb.com/title/tt0137363/,movie,7.2,117,1999,"Crime, Drama, Thriller",79109,1999-03-19,Mark Pellington
23,tt0313542,2013-01-01,2013-01-01,,Runaway Jury,https://www.imdb.com/title/tt0313542/,movie,7.1,127,2003,"Crime, Drama, Thriller",88430,2003-10-09,Gary Fleder
24,tt0309698,2013-01-01,2013-01-01,,Identity,https://www.imdb.com/title/tt0309698/,movie,7.3,90,2003,"Mystery, Thriller",219224,2003-04-23,James Mangold
25,tt0037008,2013-01-01,2013-01-01,,Laura,https://www.imdb.com/title/tt0037008/,movie,8.0,88,1944,"Drama, Film-Noir, Mystery",40849,1944-10-11,Otto Preminger
26,tt0114369,2013-01-01,2013-01-01,,Se7en,https://www.imdb.com/title/tt0114369/,movie,8.6,127,1995,"Crime, Drama, Mystery, Thriller",1377030,1995-09-15,David Fincher
